Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Elevator,Janitor,Parking-Space,Closing-Date,Price,Bedroom,Living Room,Bathroom
121.01318314796754,24.786235265023404,28,26.10,住宅大樓(11層含以上有電梯),住家用,十一層/十三層,有,有,1,112/08/06,"9,800,000",2,2,1
120.9672058047868,24.821967517354917,25,35.68,住宅大樓(11層含以上有電梯),住家用,二層/二十一層,有,有,0,112/08/27,"9,550,000",3,2,2
121.00972207991866,24.791029724698213,10,31.58,住宅大樓(11層含以上有電梯),住家用,二層/十四層,有,有,1,112/08/03,"14,800,000",1,1,1
120.95166128645592,24.75349011035072,22,24.86,華廈(10層含以下有電梯),住家用,四層/五層,有,有,0,112/08/26,"3,840,000",0,0,0
120.95152489063916,24.79920213692964,16,32.28,住宅大樓(11層含以上有電梯),住家用,六層/十五層,有,有,1,112/08/26,"8,500,000",2,1,1
120.97884103704163,24.813401483463263,17,10.95,華廈(10層含以下有電梯),辦公用,二層/八層,有,有,0,112/08/30,"4,600,000",1,1,1
120.96228801547272,24.79302062833524,42,24.22,公寓(5樓含以下無電梯),住家用,五層/五層,無,無,0,112/08/23,"3,970,000",3,2,2
120.97576573847834,24.80769492783533,35,30.29,公寓(5樓含以下無電梯),住家用,四層/五層,無,無,0,112/08/13,"7,800,000",3,2,2
120.96605833169092,24.82168737872717,43,22.31,公寓(5樓含以下無電梯),住家用,三層/四層,無,無,0,112/08/12,"5,000,000",3,2,2
121.00129559641468,24.788953450262888,26,13.66,華廈(10層含以下有電梯),住家用,四層/五層,有,有,0,112/08/20,"3,950,000",0,0,0
120.96131343683062,24.810174760888028,28,43.89,住宅大樓(11層含以上有電梯),住家用,六層/十二層,有,有,1,112/08/20,"13,380,000",3,2,2
120.97191575856326,24.81733681750724,32,9.88,華廈(10層含以下有電梯),住家用,七層/七層,有,有,0,112/08/06,"2,500,000",1,1,1
120.976784643902,24.807279772522715,9,13.43,住宅大樓(11層含以上有電梯),住家用,六層/十二層,有,有,0,112/08/20,"5,800,000",1,1,1
121.01805864228452,24.784898516070896,15,17.98,住宅大樓(11層含以上有電梯),辦公用,十一層/十三層,有,有,1,112/08/28,"8,330,000",1,1,1
120.93913247538649,24.79750022668523,11,51.64,住宅大樓(11層含以上有電梯),住家用,六層/十一層,有,有,1,112/08/22,"16,500,000",4,2,2
120.98437077381038,24.812481240122494,10,42.92,住宅大樓(11層含以上有電梯),住家用,四層/十四層,有,有,1,112/08/19,"21,500,000",3,2,2
120.97950378537485,24.81349185036225,5,50.08,住宅大樓(11層含以上有電梯),住家用,四層/十一層,有,有,1,112/08/20,"23,200,000",3,2,2
120.96989666042585,24.821760432243583,39,21.69,公寓(5樓含以下無電梯),住家用,三層/五層,無,無,0,112/08/10,"5,000,000",3,2,1
120.9636279989372,24.81052745573664,32,9.85,華廈(10層含以下有電梯),住家用,三層/五層,有,無,0,112/08/22,"3,880,000",1,1,1
120.9596451892842,24.79950248751422,36,30.30,公寓(5樓含以下無電梯),住家用,四層/五層,無,無,0,112/08/12,"7,190,000",3,2,2
120.962237874765,24.79529582198476,18,11.23,華廈(10層含以下有電梯),住家用,三層/六層,有,有,0,112/08/29,"4,160,000",1,1,1
120.97381586372916,24.813608339221418,16,28.92,住宅大樓(11層含以上有電梯),住家用,九層/二十八層,有,有,0,112/08/30,"12,340,000",2,2,2
120.95152489063916,24.79920213692964,16,45.17,住宅大樓(11層含以上有電梯),住家用,十五層/十五層,有,有,1,112/08/14,"14,700,000",3,2,2
120.96385256017118,24.820693721891192,25,38.60,華廈(10層含以下有電梯),住家用,四層/六層,有,有,1,112/08/08,"10,580,000",3,2,2
120.93913247538649,24.79750022668523,11,48.75,住宅大樓(11層含以上有電梯),住家用,四層/十一層,有,有,1,112/08/08,"15,160,000",3,2,2
120.93918930108116,24.80266461498797,29,30.60,華廈(10層含以下有電梯),住家用,七層/九層,有,有,0,112/08/26,"5,300,000",3,2,2
120.97049998810948,24.822284201870247,27,43.31,住宅大樓(11層含以上有電梯),住家用,九層/十四層,有,有,1,112/08/15,"12,700,000",3,2,2
120.9891114753606,24.784149821117005,16,21.30,華廈(10層含以下有電梯),辦公用,三層/六層,有,有,1,112/08/18,"7,880,000",2,1,1
120.95142678742906,24.797134549994365,28,47.26,華廈(10層含以下有電梯),住家用,三層/十層,有,有,1,112/08/16,"10,700,000",4,2,2
120.9626494805897,24.80797211083836,3,11.74,華廈(10層含以下有電梯),住家用,六層/十層,有,有,0,112/08/09,"4,900,000",1,1,1
121.00372875114958,24.79573391429741,12,57.87,住宅大樓(11層含以上有電梯),住家用,十一層/十四層,有,有,1,112/08/23,"24,000,000",3,2,2
120.96519124223164,24.809290906012567,2,20.80,華廈(10層含以下有電梯),住家用,五層/七層,有,有,0,112/08/02,"8,500,000",1,1,1
120.96830564222644,24.77616553725652,18,23.01,華廈(10層含以下有電梯),住家用,四層/四層,有,有,1,112/08/13,"5,300,000",1,1,1
121.00972207991866,24.791029724698213,10,46.09,住宅大樓(11層含以上有電梯),住家用,十層/十四層,有,有,1,112/08/31,"22,220,000",3,2,2
121.01189803968404,24.79221233050372,8,50.85,住宅大樓(11層含以上有電梯),住家用,四層/二十八層,有,有,1,112/08/23,"26,280,000",3,2,2
120.95309619892636,24.80275991006005,14,56.40,住宅大樓(11層含以上有電梯),住家用,十層/十三層,有,有,1,112/08/12,"18,000,000",3,2,2
120.95909658399866,24.81354183577448,34,34.61,公寓(5樓含以下無電梯),住家用,一層/五層,無,有,0,112/08/07,"4,800,000",3,2,2
120.97129691019104,24.79837660176166,28,22.56,華廈(10層含以下有電梯),住家用,九層/十層,有,有,0,112/08/15,"5,200,000",2,1,1
121.02692776146196,24.77578726917276,23,10.83,公寓(5樓含以下無電梯),住家用,四層/四層,無,無,0,112/08/21,"4,050,000",1,1,1
120.95152489063916,24.79920213692964,16,31.48,住宅大樓(11層含以上有電梯),住家用,五層/十五層,有,有,1,112/08/15,"8,500,000",1,1,1
120.9672058047868,24.821967517354917,25,37.16,住宅大樓(11層含以上有電梯),住家用,二層/二十一層,有,有,0,112/08/20,"11,250,000",3,2,2
120.9705809824244,24.81443837173513,34,45.29,公寓(5樓含以下無電梯),住家用,"三層,四層/五層",無,有,0,112/08/26,"9,880,000",3,2,3
