Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Layout,Elevator,Janitor,Parking-Space,Closing-Date,Price
120.96157823083226,24.81757828594351,24,28.74,華廈(10層含以下有電梯),住家用,五層/五層,3房2廳2衛,有,無,0,112/09/11,"7,300,000"
120.973311549434,24.812777616326613,28,39.70,住宅大樓(11層含以上有電梯),住家用,八層/十二層,4房2廳3衛,有,有,1,112/09/22,"9,500,000"
120.92908871805813,24.84047192803281,10,26.28,住宅大樓(11層含以上有電梯),住家用,十層/十一層,2房2廳1衛,有,有,0,112/09/02,"7,400,000"
120.98936727766336,24.7997423037825,30,60.91,住宅大樓(11層含以上有電梯),商業用,十四層/二十三層,1廳,有,有,1,112/09/04,"12,500,000"
121.0254054226018,24.778577391903003,25,44.85,住宅大樓(11層含以上有電梯),住家用,十四層/十四層,3房2廳2衛,有,有,1,112/09/02,"16,350,000"
120.98056228517483,24.813130848471598,21,36.28,住宅大樓(11層含以上有電梯),住家用,十三層/十三層,5房2廳2衛,有,有,1,112/09/05,"10,000,000"
120.95549961400923,24.80313081621968,14,17.28,華廈(10層含以下有電梯),辦公用,八層/十層,2房1廳1衛,有,有,1,112/09/04,"7,600,000"
120.962237874765,24.795295821984762,18,8.21,華廈(10層含以下有電梯),住家用,五層/六層,1房1廳1衛,有,有,0,112/09/06,"2,800,000"
120.95309619892636,24.80275991006005,14,56.42,住宅大樓(11層含以上有電梯),住家用,五層/十四層,3房2廳2衛,有,有,1,112/09/05,"15,000,000"
120.98807036475723,24.812328088725252,9,46.68,住宅大樓(11層含以上有電梯),住家用,十四層/十四層,3房2廳2衛,有,有,1,112/09/03,"20,000,000"
120.95104419030922,24.814324905981756,29,39.13,透天厝,住家用,全/四層,4房2廳2衛,無,有,0,112/09/08,"9,000,000"
120.99638973957774,24.80251442207175,16,60.89,住宅大樓(11層含以上有電梯),住家用,二層/十二層,3房2廳2衛,有,有,2,112/09/05,"25,200,000"
121.00236386269249,24.796393040707173,16,10.90,華廈(10層含以下有電梯),住家用,三層/六層,1房1廳1衛,有,有,0,112/09/04,"5,980,000"
121.01318314796754,24.786235265023404,28,26.60,住宅大樓(11層含以上有電梯),住家用,十層/十三層,3房2廳2衛,有,有,0,112/09/02,"11,350,000"
120.95486305467193,24.81286347671036,41,31.83,公寓(5樓含以下無電梯),住家用,二層/五層,3房2廳2衛,無,無,0,112/09/09,"4,900,000"
120.96935493927204,24.771850065802575,23,114.26,透天厝,住家用,全/四層,6房4廳7衛,無,有,0,112/09/12,"35,500,000"
120.97913720106823,24.816958783167205,29,18.59,住宅大樓(11層含以上有電梯),住家用,九層/十四層,1房2廳1衛,有,有,0,112/09/06,"4,980,000"
120.92768163704747,24.844109770785558,40,26.17,公寓(5樓含以下無電梯),住家用,二層/四層,4房2廳1衛,無,無,0,112/09/02,"4,270,000"
120.96868178453313,24.814121987741284,27,13.94,住宅大樓(11層含以上有電梯),住家用,六層/十二層,1房1廳1衛,有,無,0,112/09/15,"5,380,000"
121.01636729880414,24.783372862312678,28,32.71,華廈(10層含以下有電梯),住家用,六層/七層,3房2廳2衛,有,有,1,112/09/11,"11,520,000"
120.9624350684097,24.797345383926658,26,9.81,住宅大樓(11層含以上有電梯),辦公用,十層/十七層,1房1衛,有,有,0,112/09/16,"2,600,000"
120.98672615149795,24.80213467576688,11,87.69,住宅大樓(11層含以上有電梯),商業用,"一層,二層/十四層",4房1廳2衛,有,有,2,112/09/13,"35,500,000"
120.98437077381038,24.812481240122498,10,43.51,住宅大樓(11層含以上有電梯),住家用,七層/十四層,2房2廳2衛,有,有,1,112/09/02,"22,200,000"
121.01033432713868,24.77960846127178,36,42.55,透天厝,住家用,全/二層,4房2廳3衛,無,無,0,112/09/20,"22,000,000"
120.97653919472238,24.797510765834257,36,32.00,公寓(5樓含以下無電梯),住家用,五層/五層,3房2廳2衛,無,無,0,112/09/02,"7,600,000"
120.9283015560148,24.832887549211698,10,64.11,透天厝,住商用,全/四層,3房3廳3衛,無,無,0,112/09/11,"10,500,000"
120.96179853841042,24.808847674434453,15,13.52,華廈(10層含以下有電梯),辦公用,五層/十層,1房1廳1衛,有,有,1,112/09/07,"5,800,000"
120.97787523088451,24.793068888835595,50,26.47,透天厝,住家用,全/二層,4房2廳2衛,無,無,0,112/09/07,"8,500,000"
120.97772209787712,24.81980259466053,32,11.41,華廈(10層含以下有電梯),住家用,三層/五層,1房1廳1衛,有,有,0,112/09/15,"3,020,000"
121.01459813578164,24.79257323470499,3,50.42,住宅大樓(11層含以上有電梯),住家用,十五層/二十一層,3房2廳2衛,有,有,1,112/09/07,"25,500,000"
