Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,8381.379883,8840.750000,8378.059570,8744.830078,8744.810547,48451000
2016-04-01,8700.379883,8743.349609,8352.230469,8377.900391,8377.880859,29930700
2016-05-01,8362.349609,8563.400391,7999.979980,8535.589844,8535.570313,33218000
2016-06-01,8516.080078,8754.820313,8374.259766,8666.580078,8666.560547,32956900
2016-07-01,8692.480469,9085.910156,8569.150391,8984.410156,8984.396484,42112800
2016-08-01,9008.740234,9200.419922,8928.330078,9068.849609,9068.835938,41423800
2016-09-01,9055.730469,9303.129883,8885.549805,9166.849609,9166.836914,30156000
2016-10-01,9219.519531,9399.969727,9074.990234,9290.120117,9290.107422,29189300
2016-11-01,9272.299805,9296.860352,8879.690430,9240.709961,9240.697266,40360700
2016-12-01,9245.549805,9430.339844,9078.639648,9253.500000,9253.493164,33801500
2017-01-01,9252.559570,9468.339844,9235.950195,9447.950195,9447.943359,26746900
2017-02-01,9502.250000,9869.589844,9413.769531,9750.469727,9750.462891,46133900
2017-03-01,9751.120117,9976.610352,9562.750000,9811.519531,9811.512695,51898700
2017-04-01,9856.440430,9949.480469,9622.250000,9872.000000,9871.993164,37791200
2017-05-01,9926.440430,10121.879883,9895.650391,10040.719727,10040.712891,38759000
2017-06-01,10064.440430,10545.700195,10033.250000,10395.070313,10395.070313,47734200
2017-07-01,10368.990234,10537.419922,10283.950195,10427.330078,10427.330078,44433400
2017-08-01,10408.530273,10619.419922,10225.280273,10585.780273,10585.780273,58797300
2017-09-01,10576.269531,10664.179688,10257.019531,10329.940430,10329.940430,56885700
2017-10-01,10425.099609,10842.250000,10414.530273,10793.799805,10793.799805,43472400
2017-11-01,10816.040039,10882.650391,10560.440430,10560.440430,10560.440430,61172500
2017-12-01,10591.620117,10665.919922,10322.759766,10642.860352,10642.860352,51153000
2018-01-01,10664.820313,11270.179688,10650.769531,11103.790039,11103.790039,64898600
2018-02-01,11139.400391,11212.099609,10189.040039,10815.469727,10815.469727,37962800
2018-03-01,10779.099609,11120.200195,10638.980469,10906.219727,10906.219727,51277200
2018-04-01,10936.259766,11016.349609,10478.980469,10657.879883,10657.879883,43407400
2018-05-01,10665.519531,11034.120117,10500.969727,10874.959961,10874.959961,55954400
2018-06-01,10882.679688,11261.679688,10633.009766,10836.910156,10836.910156,57350400
2018-07-01,10852.169922,11080.410156,10523.580078,11057.509766,11057.509766,48950700
2018-08-01,11062.360352,11186.049805,10606.259766,11063.940430,11063.940430,47682700
2018-09-01,11087.860352,11097.110352,10667.250000,11006.339844,11006.339844,38888400
2018-10-01,11014.190430,11064.339844,9400.690430,9802.129883,9802.129883,46243600
2018-11-01,9812.200195,10014.419922,9616.160156,9888.030273,9888.030273,43089400
2018-12-01,9979.209961,10148.750000,9473.299805,9727.410156,9727.410156,37512300
2019-01-01,9725.269531,10020.599609,9319.280273,9932.259766,9932.259766,34163500
2019-02-01,10029.839844,10416.910156,9988.830078,10389.169922,10389.169922,28844900
2019-03-01,10385.250000,10667.940430,10204.209961,10641.040039,10641.040039,41822300
2019-04-01,10714.679688,11077.990234,10627.009766,10967.730469,10967.730469,46946300
2019-05-01,10992.759766,11097.000000,10227.440430,10498.490234,10498.490234,45492300
2019-06-01,10482.450195,10840.290039,10371.080078,10730.830078,10730.830078,35248400
2019-07-01,10821.299805,10994.440430,10680.849609,10823.809570,10823.809570,49441200
2019-08-01,10773.059570,10773.250000,10180.040039,10618.049805,10618.049805,50197600
2019-09-01,10613.190430,10971.540039,10557.030273,10829.679688,10829.679688,43181700
2019-10-01,10855.599609,11428.419922,10809.280273,11358.709961,11358.709961,42804700
2019-11-01,11373.700195,11668.200195,11335.509766,11489.570313,11489.570313,46169300
2019-12-01,11509.940430,12125.900391,11454.379883,11997.139648,11997.139648,36000900
2020-01-01,12026.500000,12197.639648,11418.219727,11495.099609,11495.099609,36308200
2020-02-01,11365.900391,11854.980469,11138.030273,11292.169922,11292.169922,43822500
2020-03-01,11184.660156,11525.320313,8523.629883,9708.059570,9708.059570,74416100
2020-04-01,9726.200195,11012.780273,9651.519531,10992.139648,10992.139648,59536000
2020-05-01,10781.509766,11087.530273,10658.500000,10942.160156,10942.160156,58808900
2020-06-01,10971.400391,11771.120117,10971.400391,11621.240234,11621.240234,66076600
2020-07-01,11622.639648,13031.700195,11622.639648,12664.799805,12664.799805,82040900
2020-08-01,12642.730469,12981.580078,12144.759766,12591.450195,12591.450195,84127500
2020-09-01,12617.389648,13021.679688,12149.809570,12515.610352,12515.610352,87770000
2020-10-01,12567.879883,12997.790039,12519.120117,12546.339844,12546.339844,65701900
2020-11-01,12565.320313,13969.389648,12480.660156,13722.889648,13722.889648,88068200
2020-12-01,13810.549805,14760.059570,13749.709961,14732.530273,14732.530273,142922300
2021-01-01,14720.250000,16238.459961,14720.250000,15138.309570,15138.309570,114976500
2021-02-01,15176.559570,16579.169922,15089.959961,15953.799805,15953.799805,74119100
2021-03-01,16127.870117,16556.189453,15636.429688,16431.130859,16431.130859,123857000
2021-04-01,16538.279297,17709.230469,16496.160156,17566.660156,17566.660156,172343600
2021-05-01,17505.519531,17546.939453,15159.860352,17068.429688,17068.429688,196897200
2021-06-01,17098.490234,17797.269531,16775.849609,17755.460938,17755.460938,157418600
2021-07-01,17801.189453,18034.189453,16893.699219,17247.410156,17247.410156,154291700
2021-08-01,17256.609375,17643.970703,16248.080078,17490.289063,17490.289063,108915900
2021-09-01,17463.800781,17633.669922,16767.199219,16934.769531,16934.769531,82376200
2021-10-01,16883.000000,17104.859375,16162.169922,16987.410156,16987.410156,80138200
2021-11-01,17021.769531,17986.179688,17021.769531,17427.759766,17427.759766,119613400
2021-12-01,17428.609375,18291.250000,17374.589844,18218.839844,18218.839844,95211200
2022-01-01,18260.230469,18619.609375,17633.029297,17674.400391,17674.400391,69549800
2022-02-01,17750.699219,18338.050781,17554.970703,17652.179688,17652.179688,60402800
2022-03-01,17657.500000,18026.029297,16764.779297,17693.470703,17693.470703,95383400
2022-04-01,17657.759766,17657.759766,16219.410156,16592.179688,16592.179688,77687200
2022-05-01,16593.210938,16807.769531,15616.679688,16807.769531,16807.769531,68922900
2022-06-01,16718.910156,16811.039063,14825.730469,14825.730469,14825.730469,66995800
2022-07-01,14812.129883,15035.269531,13928.660156,15000.070313,15000.070313,67275700
2022-08-01,14982.269531,15475.889648,14545.690430,15095.440430,15095.440430,66035700
2022-09-01,14981.000000,14981.000000,13274.719727,13424.580078,13424.580078,58425900
2022-10-01,13359.259766,13902.019531,12629.480469,12949.750000,12949.750000,50229600
2022-11-01,12933.120117,14879.549805,12868.250000,14879.549805,14879.549805,61588000
2022-12-01,15059.919922,15152.379883,13981.629883,14137.690430,14137.690430,60360600
2023-01-01,14108.160156,15493.820313,14001.969727,15265.200195,15265.200195,28393900
2023-02-01,15346.349609,15717.959961,15291.679688,15503.790039,15503.790039,47426400
