AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,pimg,pu,punit,r,reid,s,sq,t,tp,tunit,twn,type,unit,v
其他,,明湖路０７４９號地下一層之３１#明湖路７４９號地下一層之３１,華廈(10層含以下有電梯),,38.56%,O,,,112/09/09,有,64.59%,地下一層/四層,,19,23,1,1,1,24.77616553725652,120.96830564222645,有,,總價/總面積,,"246,410",bt_06.png,住家用,1,118,,25.57,MLj3E4edOry1M818llFynfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"6,300,000",1,O01,Biz,2,1房1廳1衛
商,,頂埔路００２６號３樓#頂埔路２６號３樓,華廈(10層含以下有電梯),,82.70%,O,,,112/09/03,有,,三層/十層,,28,24,1,1,0,24.797134549994365,120.95142678742906,有,,總價/總面積,,"256,453",bt_06.png,住家用,1,32,,32.36,JCcTPrgthp0LUlpc18sMqfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"8,300,000",1,O01,Biz,2,3房2廳2衛
商,,中山路０２３３之５號八樓#中山路２３３之５號八樓,華廈(10層含以下有電梯),,59.22%,O,,,112/09/04,有,,八層/十層,,16,25,1,1,0,24.80176924045228,120.96178092541373,有,,總價/總面積,夾層;,"485,246",bt_06.png,辦公用,1,33,,11.44,S4fcVp8j2zNjtladcXVX6vPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,550,000",1,O01,Biz,2,1房1廳1衛
住,,成功路０１３巷０００５號#成功路１３巷５號,透天厝,,,O,,,112/09/06,無,,全/四層,,17,26,3,1,0,24.816015245918624,120.95754269755288,無,,總價/總面積,頂樓加蓋;,,bt_02.png,住家用,1,13,,58.81,7ftHuI9zQPKwVHwXftsftvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"17,400,000",1,O01,Biz,2,4房2廳6衛
商,,中正路０１８２號六樓之１１#中正路１８２號六樓之１１,住宅大樓(11層含以上有電梯),,69.56%,O,,,112/09/15,有,,六層/十一層,,17,27,1,1,0,24.810094695361947,120.96624943229403,有,,總價/總面積,,"292,129",bt_05.png,住家用,1,20,,10.61,uTULQqlGcsUlmlPgCP9eYfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,100,000",1,O01,Biz,2,1房1衛
商,,民生路０１３０號#民生路１３０號,透天厝,,,O,,,112/09/08,無,,全/二層,,26,28,1,1,0,24.810241232794404,120.9772292204551,無,,總價/總面積,,,bt_02.png,住商用,1,10,,48.02,aeTHppI6w7+xr8j/vO8zyvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"29,800,000",1,O01,Biz,2,3房2廳2衛
住,,埔頂路００２８號四樓之５#埔頂路２８號四樓之５,華廈(10層含以下有電梯),,37.60%,O,,,112/09/02,有,51.40%,四層/十層,,8,29,1,1,1,24.793982182925685,121.00839699006924,有,,總價/總面積,陽台外推;其他增建;,"412,496",bt_06.png,住家用,1,33,,39.52,1rFbdTIUCFIx2hu5KnR/P/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"16,300,000",1,O01,Biz,2,2房2廳1衛
住,,演藝路００２５號８樓#演藝路２５號８樓,住宅大樓(11層含以上有電梯),,53.04%,O,,,112/09/09,有,,八層/十三層,,24,30,1,1,2,24.81082624130781,120.967287871392,有,,總價/總面積,,"281,111",bt_05.png,住家用,1,46,,106.72,UONhjLagfwSbo+N5Av1WIPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"30,000,000",1,O01,Biz,2,5房2廳3衛
工,,０７０５之４５號五樓#中華路四段７０５之４５號五樓,華廈(10層含以下有電梯),,54.12%,O,,,112/09/01,有,,五層/六層,,16,31,2,1,1,24.788259817203347,120.92972171429406,有,,總價/總面積,夾層;其他增建;,"154,423",bt_06.png,住家用,1,43,,8.74,Hh17QElhNF9/h/h0OayLDfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"1,350,000",1,O01,Biz,2,1房1廳1衛
商,,林森路０１９６號１１樓之２#林森路１９６號１１樓之２,住宅大樓(11層含以上有電梯),,73.91%,O,,,112/09/03,有,,十一層/十四層,,28,32,2,1,0,24.79902503062773,120.96379949920893,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"168,767",bt_05.png,住家用,1,32,,29.63,ODBbI6TU0Rwkl9tkWl0WpvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,000,000",1,O01,Biz,2,2房1廳1衛
