AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,pimg,pu,punit,r,reid,s,sq,t,tp,tunit,twn,type,unit,v
住,,建功二路０００２號三樓之１６#建功二路２號三樓之１６,華廈(10層含以下有電梯),,40.95%,O,,,112/05/01,有,,三層/六層,,16,1349,1,1,1,24.796393040707173,121.00236386269249,有,,總價/總面積,,"467,269",bt_06.png,住家用,1,34,,16.05,q6DU2HQs4op8q2aJxgXOefPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"7,500,000",1,O01,Biz,2,1房1廳1衛
住,,中清路一段０２４８號十一樓之３#中清路一段２４８號十一樓之３,住宅大樓(11層含以上有電梯),,52.37%,O,,48,112/05/11,有,66.56%,十一層/十二層,1,,1350,1,1,1,24.83482985925066,120.93076396510779,無,,(總價-車位總價)/(總面積-車位總面積),日後依公寓大廈管理條例成立管理組織親友、員工、共有人或其他特殊關係間之交易;,"204,926",bt_05.png,住家用,1,54,,44.28,QPYxRfp+CXzRV/dT9VtBkfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"7,620,000",1,O01,Biz,2,3房2廳2衛
住,,中山路６４０巷０６００號３樓#中山路６４０巷６００號３樓,華廈(10層含以下有電梯),,72.18%,O,,,112/05/02,有,,三層/八層,,25,1351,1,1,0,24.793830198474815,120.95181380128113,有,,總價/總面積,陽台加窗其他增建;,"268,522",bt_06.png,住家用,1,53,,32.21,bvvm93UfaLVgkf7wy3FKGfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"8,650,000",1,O01,Biz,2,3房2廳2衛
住,,經國路三段０９２巷０１６弄００４９號十樓#經國路三段９２巷１６弄４９號十樓,住宅大樓(11層含以上有電梯),,42.03%,O,,,112/05/06,有,58.12%,十層/十五層,,13,1352,1,1,2,24.798163916418016,120.95172310978387,有,,總價/總面積,,"283,755",bt_05.png,住家用,1,86,,58.33,H4Hb0LpDLchXRSD88bo8fvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"16,550,000",1,O01,Biz,2,3房2廳2衛
其他,,忠孝路００５０號九樓之２#忠孝路５０號九樓之２,住宅大樓(11層含以上有電梯),,54.93%,O,,,112/05/06,有,,九層/十四層,,11,1353,1,1,1,24.80171967151959,120.99091011460031,有,,總價/總面積,,"481,537",bt_05.png,辦公用,1,47,,61.26,fjcgAPYlVAX9JpX9biE2l/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"29,500,000",1,O01,Biz,2,3房2廳2衛
住,,光復路一段４７６巷００５８號６樓#光復路一段４７６巷５８號６樓,住宅大樓(11層含以上有電梯),,68.86%,O,,,112/05/15,有,,六層/十三層,,28,1354,4,2,1,24.786235265023404,121.01318314796754,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"413,600",bt_05.png,住家用,1,94,,26.60,bggIKx6be30pYTJkc1nbu/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"11,000,000",1,O01,Biz,2,4房2廳2衛
,丙種建築用地,中華路六段６４７巷１３６弄０００８號#中華路六段６４７巷１３６弄８號,透天厝,,,O,,,112/05/03,無,,全/三層,,2,1355,1,1,0,24.729220176672516,120.92727370578442,有,,總價/總面積,,,bt_02.png,住家用,1,12,,73.89,DtJ7KYPN7+TqkYQDFlxO/PPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"23,800,000",1,O01,Biz,2,3房2廳3衛
住,,科學園路１１２巷００２２號#科學園路１１２巷２２號,透天厝,,,O,,,112/05/18,無,,全/四層,,28,1356,1,1,0,24.78370750026165,121.00990941237174,無,,總價/總面積,鐵皮屋頂增建,,bt_02.png,住家用,1,10,,77.04,Imzo2bo95BQkqANPh74K+fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"28,280,000",1,O01,Biz,2,4房3廳4衛
住,,光復路一段００８４號４Ｆ之３#光復路一段８４號４Ｆ之３,華廈(10層含以下有電梯),,67.41%,O,,,112/05/07,有,,四層/七層,,33,1357,1,1,0,24.78146671538072,121.0245159598288,有,,總價/總面積,,"260,592",bt_06.png,,1,13,,13.43,JI8JSq7Ogqn5iLB5IT0+gfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,500,000",1,O01,Biz,2,1房1衛
其他,,明湖路０７４９號地下一層之１８#明湖路７４９號地下一層之１８,華廈(10層含以下有電梯),,38.56%,O,,,112/05/23,有,64.59%,地下一層/四層,,18,1358,1,1,1,24.77616553725652,120.96830564222645,有,,總價/總面積,,"191,650",bt_06.png,住家用,1,118,,25.57,JBr3Zropde5hfZC83VzKevPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"4,900,000",1,O01,Biz,2,1房1廳1衛
商,,林森路０１９６號３樓之４#林森路１９６號３樓之４,住宅大樓(11層含以上有電梯),,67.21%,O,,,112/05/20,有,,三層/十四層,,28,1359,2,1,1,24.79902503062773,120.96379949920893,有,,總價/總面積,,"227,240",bt_05.png,辦公用,1,32,,88.01,F+QVcMnESliJB6sxIbh3HPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"20,000,000",1,O01,Biz,2,5房2廳2衛
其他,,高翠路２１０巷００５弄０００９號#高翠路２１０巷５弄９號,透天厝,,,O,,,112/05/22,無,,全/一層,,,1360,1,1,0,24.7804116648931,120.98552195956964,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;其他增建;,,bt_02.png,住家用,1,11,,20.03,sYQCxiAMDLbyw08TouILw/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,800,000",1,O01,Biz,2,4房2廳2衛
,乙種建築用地,東大路二段０５５５號八樓之３#東大路二段５５５號八樓之３,華廈(10層含以下有電梯),,42.19%,O,,,112/05/20,有,52.06%,"八層,見其他登記事項/九層",,9,1361,1,1,1,24.821586349861693,120.95921265445423,有,,總價/總面積,,"256,817",bt_06.png,辦公用,1,32,,16.74,zRSpUTeDzoZwmrzERaH2ffPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"4,300,000",1,O01,Biz,2,2房1廳2衛
住,,安和街００６巷００２０號#安和街６巷２０號,透天厝,,,O,,,112/05/18,無,,全/四層,,33,1362,1,1,1,24.781486073127308,121.01439904942062,無,,總價/總面積,,,bt_02.png,其他,1,9,,67.45,ZirMrSC36nFKhmWKMVH1ivPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"23,000,000",1,O01,Biz,2,5房2廳3衛
住,,榮濱南路０７２巷００２２號二樓之７#榮濱南路７２巷２２號二樓之７,住宅大樓(11層含以上有電梯),,43.79%,O,,,112/05/10,有,63.58%,二層/十五層,,4,1363,1,1,1,24.833564145121464,120.92717329770068,有,,總價/總面積,,"208,757",bt_05.png,住家用,1,47,,43.11,QfP2TQy60SGifJZ+m0o/vPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"9,000,000",1,O01,Biz,2,2房2廳1衛
住,,光復路一段０４６３號#光復路一段４６３號,透天厝,,,O,,,112/05/10,無,,全/三層,,,1364,4,1,0,24.78407723471912,121.01514107308294,無,,總價/總面積,鐵皮屋頂增建(包含)公共設施保留地(用地);,,bt_02.png,住商用,1,10,,52.82,DDhSIIPu7EaN55Ufxjdgf/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"25,500,000",1,O01,Biz,2,
,乙種建築用地,華江街０９５巷００１７號#華江街９５巷１７號,透天厝,,,O,,,112/05/13,有,,全/四層,,26,1365,2,1,0,24.808948594527678,120.92010528100138,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,bt_02.png,住家用,1,28,,64.75,I1btdc8kv8uwgSZ8oO1fe/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,200,000",1,O01,Biz,2,4房3廳3衛
住,,東大路二段１７２巷００２１號３樓#東大路二段１７２巷２１號３樓,華廈(10層含以下有電梯),,55.04%,O,,,112/05/05,有,,三層/七層,,26,1366,1,1,0,24.81653221192468,120.96675219270654,無,,總價/總面積,,"217,686",bt_06.png,住家用,1,81,,48.92,ta3+FFZ+01bZxM+BRI8R+/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"10,650,000",1,O01,Biz,2,3房2廳2衛
住,,公道五路二段０３７３號五樓之１#公道五路二段３７３號五樓之１,住宅大樓(11層含以上有電梯),,46.51%,O,,,112/05/21,有,,五層/十三層,,15,1367,1,1,2,24.80251442207175,120.99638973957774,有,,總價/總面積,陽台外推;,"404,149",bt_05.png,住家用,1,131,,61.86,OnC0sSxJh8gGA3NwR2+qQPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"25,000,000",1,O01,Biz,2,4房2廳2衛
住,,中華路四段０６４巷０００８號#中華路四段６４巷８號,華廈(10層含以下有電梯),,59.98%,O,,,112/05/10,有,,一層/八層,,31,1368,1,1,0,24.79699082925998,120.95377093553691,有,,總價/總面積,平台加欄杆/一樓加裝採光罩其他增建;,"212,423",bt_06.png,住商用,1,34,,38.60,tvcgcDi6dnz4TaP2/M7WovPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"8,200,000",1,O01,Biz,2,3房2廳2衛
6,,中華路五段３２３巷００１５號二樓之２#中華路五段３２３巷１５號二樓之２,華廈(10層含以下有電梯),,66.82%,O,,,112/05/14,有,,二層/五層,,1,1369,4,1,1,24.782964664648805,120.92096253884667,有,,總價/總面積,其他增建;,"312,271",bt_06.png,住家用,1,31,,25.62,Z2F7xp5n2rOoEAc1PCpJQvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"8,000,000",1,O01,Biz,2,3房2廳2衛
住,,武陵路２５０巷００７０號２樓#武陵路２５０巷７０號２樓,華廈(10層含以下有電梯),,73.72%,O,,,112/05/08,有,,二層/七層,,29,1370,1,1,0,24.820893966483503,120.97134118686294,有,,總價/總面積,其他增建;,"283,531",bt_06.png,住家用,1,35,,30.33,Wv81swBgRmb+kxZOPjHP3/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"8,600,000",1,O01,Biz,2,3房2廳2衛
工,,關新路００２９號十三樓之２０#關新路２９號十三樓之２０,住宅大樓(11層含以上有電梯),,33.93%,O,,,112/05/05,有,,十三層/十三層,,15,1371,1,1,1,24.784898516070896,121.01805864228453,有,,總價/總面積,夾層;,"480,030",bt_05.png,辦公用,1,74,,19.29,lAFol4P5lF8qQknuKLUAUfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"9,260,000",1,O01,Biz,2,1房1廳1衛
住,,東大路一段０５２巷０００１之１號７樓之５#東大路一段５２巷１之１號７樓之５,住宅大樓(11層含以上有電梯),,67.29%,O,,,112/05/18,有,,七層/十二層,,27,1372,1,1,0,24.802909847825536,120.97630079109456,有,,總價/總面積,,"335,934",bt_05.png,住家用,1,41,,9.53,djmEpbrsG0Vgy3xhtLta8vPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,200,000",1,O01,Biz,2,1房1廳1衛
住,,振興路１０９巷０１２弄００１８號三樓之８#振興路１０９巷１２弄１８號三樓之８,華廈(10層含以下有電梯),,77.40%,O,,,112/05/24,有,,三層/五層,,18,1373,1,1,0,24.79570160292152,120.96027941654961,有,,總價/總面積,,"312,337",bt_06.png,住家用,1,19,,8.00,jQMRg6YBCDIFW8T9e15Yl/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"2,500,000",1,O01,Biz,2,1房1衛
住,,武陵路１７５巷０００１號１１樓之３#武陵路１７５巷１號１１樓之３,住宅大樓(11層含以上有電梯),,63.64%,O,,,112/05/06,有,,十一層/二十層,,25,1374,2,1,0,24.821967517354913,120.96720580478681,有,,總價/總面積,,"318,975",bt_05.png,住家用,1,177,,21.63,uPtitU2rRiHGIrrpeA9+ufPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"6,900,000",1,O01,Biz,2,2房1廳1衛
商,,光復路二段０９２０號#光復路二段９２０號,透天厝,,,O,,,112/05/05,有,,全/三層,,45,1375,1,1,0,24.803172379062705,120.98128589399626,無,,總價/總面積,,,bt_02.png,住商用,1,11,,73.76,NcuSJK3rwLdXjD7kZXXrM/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"32,000,000",1,O01,Biz,2,3房2廳3衛
住,,金城一路００８７號十二樓之２#金城一路８７號十二樓之２,住宅大樓(11層含以上有電梯),,52.15%,O,,,112/05/19,有,,十二層/十二層,,12,1376,1,1,1,24.795733914297415,121.00372875114958,有,,總價/總面積,,"416,069",bt_05.png,住家用,1,196,,50.95,c7OIkcvWPeOmPgv3DkupAPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"21,200,000",1,O01,Biz,2,3房2廳2衛
住,,天府路一段０５３９號二樓#天府路一段５３９號二樓,住宅大樓(11層含以上有電梯),,55.97%,O,,,112/05/04,有,60.97%,二層/十四層,,15,1377,1,1,1,24.838965774314328,120.93259205731428,有,,總價/總面積,,"195,104",bt_05.png,住家用,1,76,,41.00,e1d0Q1FG25cuAj1juvF0WPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"8,000,000",1,O01,Biz,2,3房2廳2衛
,丙種建築用地,至善街０３３巷０００１號二樓#至善街３３巷１號二樓,公寓(5樓含以下無電梯),,71.04%,O,,,112/05/24,無,,二層/四層,,25,1378,2,1,0,24.755665607330574,120.9503750815197,有,,總價/總面積,,"89,431",bt_01.png,住家用,1,76,,9.50,9dPmC7GQd3BdS6+ey5FZxvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"850,000",1,O01,Biz,2,1房1廳1衛
住,,新源街０１３０號４樓之２#新源街１３０號４樓之２,住宅大樓(11層含以上有電梯),,60.20%,O,,,112/05/01,有,,四層/十二層,,25,1379,1,1,0,24.80170176686549,120.99393678024126,有,,總價/總面積,,"301,729",bt_05.png,住家用,1,198,,39.31,hWNxqlv7J0dJI7Ktc1MLJPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"11,860,000",1,O01,Biz,2,3房2廳2衛
,丙種建築用地,明德路０４１巷００５６號#明德路４１巷５６號,透天厝,,,O,,,112/05/22,無,,全/四層,,16,1380,1,1,0,24.75531404046026,120.9520560761244,無,,總價/總面積,,,bt_02.png,住家用,1,10,,59.59,3JuhVO1vjCu6w8Iz5tiuZvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"8,000,000",1,O01,Biz,2,18房18衛
住,,中華路一段３８４巷００５弄０００７號#中華路一段３８４巷５弄７號,公寓(5樓含以下無電梯),,100.00%,O,,,112/05/02,無,,一層/一層,,47,1381,1,1,0,24.813122267986657,120.98439047734435,無,,總價/總面積,,"224,883",bt_01.png,住家用,1,13,,28.46,pY1MwPW1oxXeNgl8hJnFiPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"6,400,000",1,O01,Biz,2,3房1廳1衛
住,,東大路一段０３９巷００１９號#東大路一段３９巷１９號,公寓(5樓含以下無電梯),,100.00%,O,,,112/05/03,無,,"一層,騎樓,地下層/四層",,47,1382,1,1,0,24.802747152051122,120.97522268750727,無,,總價/總面積,,"400,516",bt_01.png,住家用,1,10,,32.46,6iwfHJGSpEs93DHcHJG9G/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"13,000,000",1,O01,Biz,2,
商,,中華路二段０２０３號十八樓#中華路二段２０３號十八樓,住宅大樓(11層含以上有電梯),,48.35%,O,,,112/05/02,有,66.47%,十八層/十八層,,10,1383,2,1,2,24.805708976904633,120.97799168449404,有,,總價/總面積,,"401,438",bt_05.png,住家用,1,54,,71.49,iE+9W3EnDeyBb5Rygku1x/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"28,700,000",1,O01,Biz,2,3房2廳2衛
住,,竹光路０００８號９樓之５#竹光路８號９樓之５,住宅大樓(11層含以上有電梯),,50.67%,O,,,112/05/05,有,,九層/十四層,,26,1384,1,1,1,24.815104414943868,120.96147018035924,有,,總價/總面積,,"166,284",bt_05.png,住家用,1,40,,24.66,3+JtX0SdMLOI5zwLK/jhpfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"4,100,000",1,O01,Biz,2,2房1廳1衛
住,,成功路０１３巷００８弄０００３號#成功路１３巷８弄３號,透天厝,,,O,,,112/05/08,無,,全/二層,,35,1385,1,1,0,24.815211869236975,120.9581463912597,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,bt_02.png,住家用,1,9,,40.55,GyThXHLPj2HdqI2Iyo5BwvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"10,000,000",1,O01,Biz,2,6房3廳4衛
商,,南大路０２７２號六樓#南大路２７２號六樓,華廈(10層含以下有電梯),,100.00%,O,,,112/05/01,有,,六層/七層,,,1386,2,1,0,24.799460228643703,120.97234509417866,有,,總價/總面積,,"276,992",bt_06.png,住家用,1,29,,27.62,3y5Yorkmg2ZIj5k6/z7g6/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,650,000",1,O01,Biz,2,3房2廳2衛
住,,東大路一段００５０號二樓之２#東大路一段５０號二樓之２,華廈(10層含以下有電梯),,57.70%,O,,,112/05/21,有,,二層/七層,-1,,1387,1,1,0,24.802620926068464,120.97633051941328,有,,總價/總面積,,"505,464",bt_06.png,住家用,1,15,,22.45,Trwefy7eDm+446JIfBA2VPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"11,350,000",1,O01,Biz,2,1房1廳1衛
商,,城北街０７３巷０００１號#城北街７３巷１號,華廈(10層含以下有電梯),,61.90%,O,,,112/05/23,有,,"一層,騎樓,夾層/五層",,32,1388,1,1,0,24.81052745573664,120.96362799893721,無,,總價/總面積,夾層;,"498,281",bt_06.png,住商用,1,10,,32.11,WKUnjgh0jSMbtdWUb/G7TfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"16,000,000",1,O01,Biz,2,3房2廳3衛
住,,南大路６００巷００２５號#南大路６００巷２５號,透天厝,,,O,,,112/05/25,無,,全/二層,,41,1389,1,1,0,24.794835565525144,120.96299958370034,無,,總價/總面積,防火巷及法定空地增建其他增建;,,bt_02.png,住家用,1,11,,42.56,Fw/BGKdJcnu330ojk8b0I/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"14,500,000",1,O01,Biz,2,5房3廳3衛
商,,四維路００９３號１３樓之１#四維路９３號１３樓之１,住宅大樓(11層含以上有電梯),,61.20%,O,,,112/05/23,有,,"十三層,十四層/十四層",,25,1390,2,1,1,24.80097437038492,120.96042610196241,有,,總價/總面積,陽台增建其他增建;,"176,099",bt_05.png,住家用,1,35,,76.09,vzUdSTA05P/Z4YP0H7YfEvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"13,400,000",1,O01,Biz,2,4房2廳2衛
住,,建功一路００９５號８樓之１#建功一路９５號８樓之１,住宅大樓(11層含以上有電梯),,61.09%,O,,,112/05/24,有,,八層/十二層,,25,1391,1,1,0,24.80170176686549,120.99393678024126,有,,總價/總面積,,"339,716",bt_05.png,住家用,1,198,,42.68,RYVwjKhHtNH7CFdaPlYkIvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"14,500,000",1,O01,Biz,2,3房2廳2衛
住,,湳雅街１２６巷０３１弄０００９號#湳雅街１２６巷３１弄９號,透天厝,,,O,,,112/05/27,無,,全/二層,,39,1392,2,1,0,24.819621527158727,120.97456642858691,無,,總價/總面積,其他增建;,,bt_02.png,住家用,1,9,,36.45,jzKLyJx930zJ/LRhq3kw1/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"14,060,000",1,O01,Biz,2,4房2廳2衛
其他,,高峰路３８６巷０８５弄００２６號#高峰路３８６巷８５弄２６號,透天厝,,,O,,,112/05/22,無,,全/一層,,44,1393,3,1,0,24.77717875590605,120.97990531698575,無,,總價/總面積,,,bt_02.png,住家用,1,31,,109.58,XB/G5Rg8XXAMSihWWy21+PPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"72,212,464",1,O01,Biz,2,
商,,民生路００４１號#民生路４１號,透天厝,,,O,,,112/05/25,無,,全/三層,,,1394,1,1,0,24.807893984936232,120.97851555089552,無,,總價/總面積,一樓空地增建其他增建;,,bt_02.png,住家用,1,12,,72.16,ZVU/y4BK7ARLj502M7vKgPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"43,000,000",1,O01,Biz,2,9房9衛
住,,園後街０６７巷００１１號#園後街６７巷１１號,公寓(5樓含以下無電梯),,81.62%,O,,,112/05/13,無,,一層/五層,,34,1395,1,1,0,24.799696571985805,120.98300743240159,無,,總價/總面積,其他增建;,"303,970",bt_01.png,住家用,1,46,,45.40,qSkRbHon/xVXeN/HcgQ36fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"13,800,000",1,O01,Biz,2,4房2廳2衛
商,,東南街０１０５號５樓之４#東南街１０５號５樓之４,華廈(10層含以下有電梯),,78.62%,O,,,112/05/28,有,,五層/九層,,33,1396,1,1,0,24.79822361171047,120.97404658317417,有,,總價/總面積,,"277,035",bt_06.png,住家用,1,29,,55.77,UO/cKAWcHd32AxKMOfA3zfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"15,450,000",1,O01,Biz,2,4房2廳2衛
住,,金竹路０８６巷００２８號三樓之２#金竹路８６巷２８號三樓之２,住宅大樓(11層含以上有電梯),,46.14%,O,,,112/05/17,有,59.84%,三層/十三層,,12,1397,1,1,2,24.824027468288296,120.97451606479908,有,,總價/總面積,,"316,271",bt_05.png,住家用,1,47,,53.12,jLXTvQ2cqDVngOzVqLXMwfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"16,800,000",1,O01,Biz,2,3房2廳2衛
,丙種建築用地,明湖路６４８巷０１０１之７號#明湖路６４８巷１０１之７號,透天厝,,,O,,,112/05/27,無,,全/五層,,9,1398,5,1,0,24.771026995718767,120.96287809038311,有,,總價/總面積,,,bt_02.png,住家用,1,32,,187.51,sQSjxnxzgd1+4zq10GIs0fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"38,800,000",1,O01,Biz,2,
,丙種建築用地,明湖路６４８巷０１０１之６號#明湖路６４８巷１０１之６號,透天厝,,,O,,,112/05/27,無,,全/五層,,9,1399,5,1,0,24.771090215513517,120.96294729201136,有,,總價/總面積,,,bt_02.png,住家用,1,33,,187.51,fOdxRl81TByBCx52xw1RsfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"38,800,000",1,O01,Biz,2,
,乙種建築用地,金雅路０１４５號二樓之２#金雅路１４５號二樓之２,住宅大樓(11層含以上有電梯),,47.63%,O,,,112/05/31,有,61.35%,二層/十五層,,3,1400,1,1,1,24.826003089178727,120.96621544340093,有,,總價/總面積,採光罩增建其他增建;,"460,281",bt_05.png,住家用,1,52,,47.36,eGRRE+Tmi+e81ktNRaolMvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"21,800,000",1,O01,Biz,2,3房2廳2衛
住,,牛埔路１８２巷００１２號#牛埔路１８２巷１２號,透天厝,,,O,,,112/05/30,無,,全/四層,,29,1401,2,1,0,24.80085420105253,120.95099013487756,有,,總價/總面積,,,bt_02.png,住家用,1,44,,117.72,BNTokfdUr4im5c1xKSu1VvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"25,800,000",1,O01,Biz,2,4房3廳4衛
,丙種建築用地,大湖路０７１巷００３弄００４６號#大湖路７１巷３弄４６號,透天厝,,,O,,,112/05/24,無,,全/四層,,28,1402,39,1,1,24.76146654826482,120.91928532260712,有,,總價/總面積,,,bt_02.png,住家用,1,98,,64.07,hqvPeHFPVqV8UrdonbXoXvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"5,500,000",1,O01,Biz,2,4房2廳3衛
商,,林森路０１８７號１１樓之４#林森路１８７號１１樓之４,住宅大樓(11層含以上有電梯),,66.72%,O,,,112/05/12,有,,十一層/十二層,,28,1403,2,1,1,24.798880710567776,120.96433364619296,有,,總價/總面積,,"235,868",bt_05.png,住家用,1,23,,49.60,fbMX4kT4mnXyy7rs5OqwkPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"11,700,000",1,O01,Biz,2,3房2廳2衛
,乙種建築用地,延平路二段０３９１號二樓之２#延平路二段３９１號二樓之２,華廈(10層含以下有電梯),,48.02%,O,,,112/05/06,有,64.58%,二層/八層,,4,1404,1,1,1,24.807600793149632,120.93337067694122,有,,總價/總面積,,"259,405",bt_06.png,住家用,1,64,,38.82,vXWJk8YF6Jr/+3nvTO0onvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"10,070,000",1,O01,Biz,2,2房2廳1衛
住,,民生路２３９巷００２弄００２５號#民生路２３９巷２弄２５號,透天厝,,,O,,,112/05/21,無,,全/五層,,28,1405,1,1,0,24.81173945869693,120.97403387724268,無,,總價/總面積,其他增建;,,bt_02.png,住家用,1,11,,113.76,6LGbOzz2S7p/UbgtwCP7V/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"29,000,000",1,O01,Biz,2,6房2廳5衛
住,,德成街０４６巷００１９號二樓#德成街４６巷１９號二樓,華廈(10層含以下有電梯),,54.15%,O,,,112/05/15,有,,二層/五層,,,1406,1,1,1,24.799981917553495,120.963176093302,有,,總價/總面積,,"437,055",bt_06.png,住家用,1,12,,31.57,G042YtcSepViWVNE/CWM+vPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"13,800,000",1,O01,Biz,2,3房2廳2衛
住,,公道五路二段０３９５號四樓#公道五路二段３９５號四樓,住宅大樓(11層含以上有電梯),,46.12%,O,,,112/05/31,有,,四層/十一層,,15,1407,1,1,2,24.80251442207175,120.99638973957774,有,,總價/總面積,陽台外推;,"386,988",bt_05.png,住家用,1,131,,67.19,0WuTdTTFvd4GO4WdCqhVzPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"26,000,000",1,O01,Biz,2,4房2廳2衛
其他,,光復路二段１５５巷０１０弄００２５號五樓之１２#光復路二段１５５巷１０弄２５號五樓之１２,華廈(10層含以下有電梯),,65.00%,O,,,112/05/31,有,,五層/七層,,16,1408,3,1,0,24.797891592491702,120.99200826776516,有,,總價/總面積,夾層;,"607,309",bt_06.png,辦公用,1,29,,9.88,q7yAwgHQWtUbaKO2zD4hdPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"6,000,000",1,O01,Biz,2,1房1廳1衛
住,,南大路０６２４號#南大路６２４號,透天厝,,,O,,,112/05/18,無,,全/四層,,27,1409,1,1,0,24.793490267206348,120.96288129791218,無,,總價/總面積,其他增建;,,bt_02.png,住商用,1,10,,108.81,yA3J5R5xZjmcBDwpA6bdY/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"17,150,000",1,O01,Biz,2,4房2廳5衛
其他,,東園街００５３號七樓之１#東園街５３號七樓之１,華廈(10層含以下有電梯),,50.96%,O,,,112/05/13,有,54.40%,七層/八層,,7,1410,1,1,1,24.802865824547865,120.984965448574,有,,總價/總面積,其他增建為雨遮陽台外推;其他增建;,"475,071",bt_06.png,住家用,1,25,,33.47,QXs4Y6i6ctD1Er8EeoszGPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"15,900,000",1,O01,Biz,2,2房2廳2衛
