longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,sale_floor,total_floor,price
120.9428131,24.8378234,29,34.79,1,1,0,112,3,2,2,1,0,0,1,0,0,0,0,3,7,7350000
120.9773198,24.80197102,9,132.56,1,1,3,112,3,2,2,1,0,0,0,1,0,0,0,13,26,43860000
120.9843708,24.81248124,10,43.5,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,12,14,23390000
121.0038475,24.79911965,44,22.6,0,0,0,112,3,2,1,1,1,0,0,0,0,0,0,4,4,6650000
120.9781471,24.82204175,30,33.15,1,1,0,112,2,2,2,1,0,0,1,0,0,0,0,4,7,7060000
120.9290887,24.84047193,10,26.28,1,1,0,112,2,2,1,1,0,0,0,1,0,0,0,10,11,7400000
120.9733076,24.78518614,6,125.96,0,1,0,112,3,4,6,1,0,1,0,0,1,0,0,0,3,39000000
120.9773198,24.80197102,9,133.62,1,1,3,112,3,2,2,1,0,0,0,1,0,0,0,20,26,49000000
120.9474296,24.77687294,41,26.11,0,0,0,112,4,1,2,1,0,1,0,0,1,0,0,0,2,5500000
120.9720861,24.80746856,16,49.98,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,6,29,19460000
121.0114232,24.79114698,8,41.35,1,1,1,112,2,2,1,1,0,0,0,1,0,0,0,5,27,19200000
120.9518138,24.7938302,25,31.05,1,1,0,112,3,2,2,1,0,0,1,0,0,0,0,5,8,8400000
120.9674851,24.8132911,28,43.77,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,6,13,13100000
121.0180586,24.78489852,15,16.99,1,1,1,112,0,0,0,0,0,0,0,1,0,0,0,5,13,7000000
120.9670623,24.80363941,25,108.66,0,0,0,112,2,4,1,0,0,1,0,0,1,0,0,0,5,27000000
120.9851425,24.81138886,12,60.87,1,1,2,112,4,2,2,0,0,0,0,1,0,0,0,4,14,26290000
121.0115917,24.79452368,26,28.36,1,1,0,112,2,2,1,1,0,0,1,0,0,0,0,8,8,11180000
120.9515249,24.79920214,16,26.33,1,1,0,112,2,1,1,1,0,0,0,1,0,0,0,6,15,9000000
120.9289152,24.83253573,3,42.78,1,1,1,112,2,2,2,1,0,0,0,1,0,0,0,3,15,11000000
120.963211,24.81574589,15,67.78,1,1,1,112,4,2,2,1,0,0,0,1,0,0,0,7,26,21000000
120.9554996,24.80313082,14,15.54,1,1,0,112,1,1,1,0,0,0,1,0,0,0,0,6,10,6330000
120.9676259,24.76620679,24,82.91,0,1,0,112,5,3,4,1,0,1,0,0,1,0,0,0,3,26500000
120.9673581,24.76924037,1,45.07,1,1,1,112,0,0,0,0,0,0,1,0,0,0,0,6,6,16310000
120.9867262,24.80213468,11,87.69,1,1,2,112,4,1,2,0,0,0,0,1,0,0,0,1,14,35500000
121.0262367,24.78140322,33,13.07,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,7,7,2150000
